date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:16:29	8599/8599	---MCZ	200	added ('OK')	application/javascript	etag:W/%225dc9a624-2197%22	https://preview.uideck.com/items/core/assets/js/vendor/modernizr-3.7.1.min.js	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/js/vendor/modernizr-3.7.1.min.js	(from https://preview.uideck.com/items/core/)
21:16:30	21004/21004	---MCZ	200	added ('OK')	application/javascript	etag:W/%225dc9a60e-520c%22	https://preview.uideck.com/items/core/assets/js/popper.min.js	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/js/popper.min.js	(from https://preview.uideck.com/items/core/)
21:16:31	58072/58072	---MCZ	200	added ('OK')	application/javascript	etag:W/%225dc9a60d-e2d8%22	https://preview.uideck.com/items/core/assets/js/bootstrap.min.js	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/js/bootstrap.min.js	(from https://preview.uideck.com/items/core/)
21:16:33	42863/42863	---MCZ	200	added ('OK')	application/javascript	etag:W/%225dc9a60e-a76f%22	https://preview.uideck.com/items/core/assets/js/slick.min.js	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/js/slick.min.js	(from https://preview.uideck.com/items/core/)
21:16:34	5564/5564	---MCZ	200	added ('OK')	application/javascript	etag:W/%225dc9a60b-15bc%22	https://preview.uideck.com/items/core/assets/js/jquery.easing.min.js	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/js/jquery.easing.min.js	(from https://preview.uideck.com/items/core/)
21:16:35	655/655	---MCZ	200	added ('OK')	application/javascript	etag:W/%225dc9a60f-28f%22	https://preview.uideck.com/items/core/assets/js/scrolling-nav.js	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/js/scrolling-nav.js	(from https://preview.uideck.com/items/core/)
21:16:36	1249/1249	---MCZ	200	added ('OK')	application/javascript	etag:W/%225dc9a609-4e1%22	https://preview.uideck.com/items/core/assets/js/ajax-contact.js	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/js/ajax-contact.js	(from https://preview.uideck.com/items/core/)
21:16:37	8415/8415	---MCZ	200	added ('OK')	application/javascript	etag:W/%225dc9a60b-20df%22	https://preview.uideck.com/items/core/assets/js/wow.min.js	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/js/wow.min.js	(from https://preview.uideck.com/items/core/)
21:16:38	2865/2865	---MCZ	200	added ('OK')	application/javascript	etag:W/%225dc9a60d-b31%22	https://preview.uideck.com/items/core/assets/js/main.js	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/js/main.js	(from https://preview.uideck.com/items/core/)
21:16:40	12310/12310	---MCZ	200	added ('OK')	application/javascript	etag:W/%226047499b-3016%22	https://ajax.cloudflare.com/cdn-cgi/scripts/7089c43e/cloudflare-static/rocket-loader.min.js	/home/parth/websites/parth1/ajax.cloudflare.com/cdn-cgi/scripts/7089c43e/cloudflare-static/rocket-loader.min.js	(from https://preview.uideck.com/items/core/)
21:16:40	3427/3427	URF---	200	added ('OK%20(cached)')	image/png		https://preview.uideck.com/items/core/assets/images/brand-1.png	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/images/brand-1.png	(from https://preview.uideck.com/items/core/)
21:16:40	603/603	URF---	200	added ('OK%20(cached)')	image/png		https://preview.uideck.com/items/core/assets/images/logo.png	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/images/logo.png	(from https://preview.uideck.com/items/core/)
21:16:41	3174/3174	URF---	200	added ('OK%20(cached)')	image/png		https://preview.uideck.com/items/core/assets/images/brand-2.png	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/images/brand-2.png	(from https://preview.uideck.com/items/core/)
21:16:42	3385/3385	URF---	200	added ('OK%20(cached)')	image/png		https://preview.uideck.com/items/core/assets/images/brand-4.png	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/images/brand-4.png	(from https://preview.uideck.com/items/core/)
21:16:42	2738/2738	URF---	200	added ('OK%20(cached)')	image/png		https://preview.uideck.com/items/core/assets/images/brand-5.png	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/images/brand-5.png	(from https://preview.uideck.com/items/core/)
21:16:42	2294/2294	URF---	200	added ('OK%20(cached)')	image/png		https://preview.uideck.com/items/core/assets/images/brand-3.png	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/images/brand-3.png	(from https://preview.uideck.com/items/core/)
21:16:44	7563/7563	URF---	200	added ('OK%20(cached)')	image/jpeg		https://preview.uideck.com/items/core/assets/images/author-2.jpg	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/images/author-2.jpg	(from https://preview.uideck.com/items/core/)
21:16:44	12035/12035	URF---	200	added ('OK%20(cached)')	image/jpeg		https://preview.uideck.com/items/core/assets/images/author-4.jpg	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/images/author-4.jpg	(from https://preview.uideck.com/items/core/)
21:16:45	6213/6213	URF---	200	added ('OK%20(cached)')	image/jpeg		https://preview.uideck.com/items/core/assets/images/author-5.jpg	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/images/author-5.jpg	(from https://preview.uideck.com/items/core/)
21:16:45	7089/7089	URF---	200	added ('OK%20(cached)')	image/jpeg		https://preview.uideck.com/items/core/assets/images/author-6.jpg	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/images/author-6.jpg	(from https://preview.uideck.com/items/core/)
21:16:45	8946/8946	URF---	200	added ('OK%20(cached)')	image/jpeg		https://preview.uideck.com/items/core/assets/images/author-3.jpg	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/images/author-3.jpg	(from https://preview.uideck.com/items/core/)
21:16:47	7683/7683	URF---	200	added ('OK%20(cached)')	image/jpeg		https://preview.uideck.com/items/core/assets/images/author-1.jpg	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/images/author-1.jpg	(from https://preview.uideck.com/items/core/)
21:16:47	19988/19988	URF---	200	added ('OK%20(cached)')	image/jpeg		https://preview.uideck.com/items/core/assets/images/blog-1.jpg	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/images/blog-1.jpg	(from https://preview.uideck.com/items/core/)
21:16:47	26546/26546	URF---	200	added ('OK%20(cached)')	image/jpeg		https://preview.uideck.com/items/core/assets/images/blog-2.jpg	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/images/blog-2.jpg	(from https://preview.uideck.com/items/core/)
21:16:48	147388/147388	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225dc9a621-23fbc%22	https://preview.uideck.com/items/core/assets/fonts/LineIcons.eot?y2l643	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/fonts/LineIcons5594.eot	(from https://preview.uideck.com/items/core/assets/css/LineIcons.css)
